id,group,capability,surfaces,priority,release,our_requirement,binance_analog,binance_sources,okx_analog,okx_sources,evidence_level,notes
FX-001,surface_shell,Native mobile apps,mobile,must,MVP,Ship dedicated iOS and Android apps with exchange-grade realtime trading and account flows.,Binance download page documents Android/iOS app availability.,binance_download,OKX download page documents iOS/Android app availability.,okx_download,verified_public_docs,
FX-002,surface_shell,Native desktop app,desktop,must,GA-1,"Ship a native desktop trading app, not only a browser experience.","Binance desktop app is available for Windows, macOS, and Linux.","binance_desktop, binance_download",OKX desktop app is available for macOS and Windows.,okx_download,verified_public_docs,
FX-003,surface_shell,Web pro trading terminal,web,must,MVP,Provide a browser-based pro terminal with advanced full-screen trade mode.,"Binance exposes Classic, Advanced, and Full-Screen TradingView-enabled trade interfaces.",binance_trade_website_tradingview,OKX publicly lists Trade and TradingView and documents web trading via TradingView.,"okx_home, okx_trade_with_tradingview",verified_public_docs,
FX-004,surface_shell,Simple vs Pro mode,"mobile, web",should,MVP,Expose a simplified mode for beginners and a pro mode for active traders.,Binance mobile simplification is a common surface pattern but was not explicitly verified in the researched public docs.,,OKX documents spot/simple mode and Pro-only P2P access in app.,"okx_spot_mode, okx_p2p",mixed,Use neutral naming if needed; do not copy competitor mode labels.
FX-005,surface_shell,Multi-account switching,"desktop, web",should,GA-1,"Allow safe switching between individual, institution, and subaccount contexts.",Binance desktop page highlights multiple account switching for institutional and individual traders.,binance_desktop,OKX home lists managed trading sub-accounts and unified account/sub-account configuration is documented.,"okx_home, okx_unified_account",verified_public_docs,
FX-006,surface_shell,Saved layouts and workspaces,"web, desktop",must,GA-1,"Persist user-defined panel layouts, chart presets, watchlists, and workspace names.",Comparable to advanced pro-terminal expectations; not explicitly verified in researched Binance docs.,,Comparable to advanced pro-terminal expectations; not explicitly verified in researched OKX docs.,,inferred_surface_parity,
FX-007,surface_shell,Hotkeys and keyboard-first trading,"desktop, web",should,GA-2,"Support keyboard shortcuts for search, symbol switch, order entry focus, cancel-all, and layout switching.",Industry-standard pro-trading parity target; not explicitly verified in researched Binance docs.,,Industry-standard pro-trading parity target; not explicitly verified in researched OKX docs.,,inferred_surface_parity,
FX-008,surface_shell,Dark mode and density controls,"mobile, web, desktop",should,MVP,Support dark theme by default on trade surfaces plus compact/comfortable density options.,Common pro-exchange parity target.,,Common pro-exchange parity target.,,inferred_surface_parity,
FX-010,market_discovery,Unified market search,"mobile, web, desktop",must,MVP,"Search symbols, contracts, options, bots, copy traders, and help articles from a unified entry point.",Needed to match broad Binance exchange breadth across multiple products.,binance_exchange_home,"Needed to match broad OKX exchange breadth across trade, bots, earn, copy trading, and support.",okx_home,mixed,
FX-011,market_discovery,Watchlists and favorites,"mobile, web, desktop",must,MVP,Allow custom watchlists with pinning and cross-device sync.,Standard exchange feature parity target; not explicitly verified in researched Binance docs.,,OKX RFQ builder explicitly supports starring favorites for pairs/counterparties; broader watchlists are standard parity targets.,okx_rfq,mixed,
